HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","3","Containing 30 percent or more by weight of silk or silk waste:","","","","","",""
"6203.11.15.00","4","Of worsted wool fabric, made of wool yarn having an average fiber diameter of 18.5 microns or less   (443)","[""No."",""kg""]","7.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"6203.11.30.00","4","Other (443)","[""No."",""kg""]","7.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"","3","Other:","","","","","",""
"6203.11.60.00","4","Of worsted wool fabric, made of wool yarn having an average fiber diameter of 18.5 microns or less   (443)","[""No."",""kg""]","17.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","52.9¢/kg + 58.5%","",""
"6203.11.90.00","4","Other (443)","[""No."",""kg""]","17.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","52.9¢/kg + 58.5%","",""
"6203.12","2","Of synthetic fibers:","","","","","",""
"6203.12.10.00","3","Containing 36 percent or more by weight of wool or fine animal hair (443)","[""No."",""kg""]","17.5%","Free (AU,BH,CL, CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","52.9¢/kg + 58.5%","",""
"6203.12.20","3","Other","","27.3%","Free (AU,BH,CL, CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","77.5%","",""
"6203.12.20.10","4","Men's (643)","[""No."",""kg""]","","","","",""
"6203.12.20.20","4","Boys' (643)","[""No."",""kg""]","","","","",""
"6203.19","2","Of other textile materials:","","","","","",""
"6203.19.10","3","Of cotton","","13.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6203.19.10.10","4","Jackets imported as parts of suits (333)","[""doz."",""kg""]","","","","",""
"6203.19.10.20","4","Trousers, breeches and shorts imported as parts of suits (347)","[""doz."",""kg""]","","","","",""
"6203.19.10.30","4","Waistcoats imported as parts of suits (359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","3","Of artificial fibers:","","","","","",""
"6203.19.20.00","4","Containing 36 percent or more by weight of wool or fine animal hair (443)","[""No."",""kg""]","52.9¢/kg + 21%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","52.9¢/kg + 58.5%","",""
