HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7210.11.00.00","2","Of a thickness of 0.5 mm or more","[""kg""]","Free","","6%","",""
"7210.12.00.00","2","Of a thickness of less than 0.5 mm","[""kg""]","Free","","6%","",""
"7210.20.00.00","1","Plated or coated with lead, including terne-plate","[""kg""]","Free","","6%","",""
"7210.30.00","1","Electrolytically plated or coated with zinc","","Free","","21.5%","",""
"7210.30.00.30","2","Of high-strength steel","[""kg""]","","","","",""
"7210.30.00.60","2","Other","[""kg""]","","","","",""
"","1","Otherwise plated or coated with zinc:","","","","","",""
"7210.41.00.00","2","Corrugated","[""kg""]","Free","","21.5%","",""
"7210.49.00","2","Other","","Free","","21.5%","",""
"","3","Of high-strength steel:","","","","","",""
"7210.49.00.40","4","“Advanced” or “ultra” of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7210.49.00.45","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7210.49.00.91","4","Of a thickness of 0.4 mm or more","[""kg""]","","","","",""
"7210.49.00.95","4","Other","[""kg""]","","","","",""
"7210.50.00","1","Plated or coated with chromium oxides or with chromium and chromium oxides","","Free","","45%","",""
"7210.50.00.20","3","Of a width less than 1050 mm","[""kg""]","","","","",""
"7210.50.00.90","3","Other","[""kg""]","","","","",""
"","1","Plated or coated with aluminum:","","","","","",""
"7210.61.00.00","2","Plated or coated with aluminum-zinc alloys","[""kg""]","Free","","21.5%","",""
"7210.69.00.00","2","Other","[""kg""]","Free","","21.5%","",""
"7210.70","1","Painted, varnished or coated with plastics:","","","","","",""
"7210.70.30.00","2","Not coated or plated with metal and not clad","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7210.70.60","2","Other","","Free","","21.5%","",""
"","3","Zinc coated or plated:","","","","","",""
"7210.70.60.30","4","Electrolytically coated or plated","[""kg""]","","","","",""
"7210.70.60.60","4","Other","[""kg""]","","","","",""
"7210.70.60.90","3","Other","[""kg""]","","","","",""
"7210.90","1","Other:","","","","","",""
"7210.90.10.00","2","Clad","[""kg""]","Free","","30%","",""
"","2","Other:","","","","","",""
"7210.90.60.00","3","Electrolytically coated or plated with base metal","[""kg""]","Free","","45%","",""
"7210.90.90.00","3","Other","[""kg""]","Free","","21.5%","",""
"7211","0","Flat-rolled products of iron or nonalloy steel, of a width of less than <il>600 mm</il>, not clad, plated or coated:","","","","","",""
"","1","Not further worked than hot-rolled:","","","","","",""
"7211.13.00.00","2","Universal mill plate","[""kg""]","Free","","20%","",""
