HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6006.33.00","2","Of yarns of different colors","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","113.5%","",""
"","3","Of double knit or interlock construction:","","","","","",""
"6006.33.00.20","4","Of nylon (222)","[""kg""]","","","","",""
"6006.33.00.40","4","Of polyester (222)","[""kg""]","","","","",""
"6006.33.00.60","4","Other (222)","[""kg""]","","","","",""
"6006.33.00.80","3","Other (222)","[""kg""]","","","","",""
"6006.34.00","2","Printed","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","113.5%","",""
"","3","Of double knit or interlock construction:","","","","","",""
"6006.34.00.20","4","Of nylon (222)","[""kg""]","","","","",""
"6006.34.00.40","4","Of polyester (222)","[""kg""]","","","","",""
"6006.34.00.60","4","Other (222)","[""kg""]","","","","",""
"6006.34.00.80","3","Other (222)","[""kg""]","","","","",""
"","1","Of artificial fibers:","","","","","",""
"6006.41.00","2","Unbleached or bleached","","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","113.5%","",""
"6006.41.00.25","3","Of double knit or interlock construction (222)","[""kg""]","","","","",""
"6006.41.00.85","3","Other (222)","[""kg""]","","","","",""
"6006.42.00","2","Dyed","","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","113.5%","",""
"6006.42.00.25","3","Of double knit or interlock construction (222)","[""kg""]","","","","",""
"6006.42.00.85","3","Other (222)","[""kg""]","","","","",""
"6006.43.00","2","Of yarns of different colors","","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","113.5%","",""
"6006.43.00.25","3","Of double knit or interlock construction (222)","[""kg""]","","","","",""
"6006.43.00.85","3","Other (222)","[""kg""]","","","","",""
"6006.44.00","2","Printed","","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","113.5%","",""
"6006.44.00.25","3","Of double knit or interlock construction (222)","[""kg""]","","","","",""
"6006.44.00.85","3","Other (222)","[""kg""]","","","","",""
"6006.90","1","Other:","","","","","",""
"6006.90.10.00","2","Containing 85 percent or more by weight of silk or silk waste","[""kg""]","7%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6006.90.90.00","2","Other (899)","[""kg""]","Free","","45%","",""
