HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1605.10.40.35","6","Other","[""kg""]","","","","",""
"1605.10.40.40","5","Other","[""kg""]","","","","",""
"1605.10.60","3","Other","","Free","","Free","",""
"1605.10.60.10","4","In airtight containers","[""kg""]","","","","",""
"1605.10.60.90","4","Other","[""kg""]","","","","",""
"","1","Shrimps and prawns:","","","","","",""
"1605.21","2","Not in airtight containers:","","","","","",""
"1605.21.05.00","3","Products containing fish meat; prepared meals","[""kg""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1605.21.10","3","Other","","Free","","Free","",""
"","4","Frozen, imported in accordance with statistical note 1 to this chapter:","","","","","",""
"1605.21.10.20","5","Breaded","[""kg""]","","","","",""
"1605.21.10.30","5","Other","[""kg""]","","","","",""
"1605.21.10.50","4","Other, imported in accordance with statistical note 1 to this chapter","[""kg""]","","","","",""
"1605.29","2","Other:","","","","","",""
"1605.29.05.00","3","Products containing fish meat; prepared meals","[""kg""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1605.29.10","3","Other","","Free","","Free","",""
"1605.29.10.10","4","Frozen, imported in accordance with statistical note 1 to this chapter","[""kg""]","","","","",""
"1605.29.10.40","4","Other, imported in accordance with statistical note 1 to this chapter","[""kg""]","","","","",""
"1605.30","1","Lobster:","","","","","",""
"1605.30.05","2","Products containing fish meat; prepared meals","","10%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1605.30.05.10","3","In airtight containers","[""kg""]","","","","",""
"1605.30.05.90","3","Other","[""kg""]","","","","",""
"1605.30.10","2","Other","","Free","","Free","",""
"","3","Lobster meat, cooked by steaming or boiling in water and out of shell, whether or not frozen but not further prepared or preserved:","","","","","",""
"1605.30.10.10","4","Frozen","[""kg""]","","","","",""
"1605.30.10.30","4","Not frozen","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"1605.30.10.50","4","In airtight containers","[""kg""]","","","","",""
"1605.30.10.90","4","Other","[""kg""]","","","","",""
"1605.40","1","Other crustaceans:","","","","","",""
"1605.40.05.00","2","Products containing fish meat; prepared meals","[""kg""]","Free","","20%","",""
"1605.40.10","2","Other","","Free","","Free","",""
"1605.40.10.10","3","Peeled freshwater crawfish tail meat","[""kg""]","","","","",""
"1605.40.10.90","3","Other","[""kg""]","","","","",""
"","1","Molluscs:","","","","","",""
"1605.51","2","Oysters:","","","","","",""
"1605.51.05.00","3","Products containing fish meat; prepared meals","[""kg""]","Free","","20%","",""
"","3","Other:","","","","","",""
"1605.51.40.00","4","Smoked","[""kg""]","Free","","7.5%","",""
"1605.51.50.00","4","Other","[""kg""]","4.7%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","12.5%","",""
"1605.52","2","Scallops, including queen scallops:","","","","","",""
"1605.52.05.00","3","Products containing fish meat; prepared meals","[""kg""]","Free","","20%","",""
"1605.52.60.00","3","Other","[""kg""]","Free","","Free","",""
"1605.53","2","Mussels:","","","","","",""
"1605.53.05.00","3","Products containing fish meat; prepared meals","[""kg""]","Free","","20%","",""
"1605.53.60.00","3","Other","[""kg""]","Free","","Free","",""
"1605.54","2","Cuttle fish and squid:","","","","","",""
"1605.54.05.00","3","Products containing fish meat; prepared meals","[""kg""]","Free","","20%","",""
"1605.54.60","3","Other","","Free","","Free","",""
"1605.54.60.10","4","Cuttle fish","[""kg""]","","","","",""
"","4","Squid:","","","","","",""
"1605.54.60.20","5","Loligo","[""kg""]","","","","",""
"1605.54.60.30","5","Other","[""kg""]","","","","",""
"1605.55","2","Octopus:","","","","","",""
"1605.55.05.00","3","Products containing fish meat; prepared meals","[""kg""]","Free","","20%","",""
"1605.55.60.00","3","Other","[""kg""]","Free","","Free","",""
"1605.56","2","Clams, cockles and arkshells:","","","","","",""
"1605.56.05.00","3","Products containing fish meat; prepared meals","[""kg""]","Free","","20%","",""
"","3","Other:","","","","","",""
"","4","Clams:","","","","","",""
"","5","In airtight containers:","","","","","",""
"1605.56.10.00","6","Razor clams (<u>Siliqua</u> <u>patula</u>)","[""kg""]","Free","","23%","",""
"","6","Other:","","","","","",""
"1605.56.15.00","7","Boiled clams, whether whole, minced or chopped, and whether or not salted, but not otherwise prepared or preserved, in immediate containers, the contents of each container not exceeding 680 grams gross weight","[""kg""]","10%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"1605.56.20.00","7","Other","[""kg""]","Free","","35%","",""
"1605.56.30.00","5","Other","[""kg""]","Free","","Free","",""
"1605.56.60.00","4","Other","[""kg""]","Free","","Free","",""
"1605.57","2","Abalone:","","","","","",""
"1605.57.05.00","3","Products containing fish meat; prepared meals","[""kg""]","Free","","20%","",""
"1605.57.60.00","3","Other","[""kg""]","Free","","Free","",""
"1605.58","2","Snails, other than sea snails:","","","","","",""
"1605.58.05.00","3","Products containing fish meat; prepared meals","[""kg""]","Free","","20%","",""
"1605.58.55.00","3","Other","[""kg""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1605.59","2","Other:","","","","","",""
"1605.59.05.00","3","Products containing fish meat; prepared meals","[""kg""]","Free","","20%","",""
"1605.59.60.00","3","Other","[""kg""]","Free","","Free","",""
"","1","Other aquatic invertebrates:","","","","","",""
"1605.61.00.00","2","Sea cucumbers","[""kg""]","Free","","Free","",""
"1605.62.00.00","2","Sea urchins","[""kg""]","Free","","Free","",""
