HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9105.29.10","4","Not constructed or designed to operate for over 47 hours without rewinding","","20¢ each + 4.6% on the case","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","75¢ each + 45% on the case","",""
"","4","Constructed or designed to operate for over 47 hours without rewinding:","","","","","",""
"9105.29.20","5","Having no jewels or only one jewel","","40¢ each + 4.6% on the case","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$1.75 each + 45% on the case","",""
"9105.29.30","5","Having over one jewel","","57¢ each + 3.7¢/jewel over 7 + 4.9% on the case","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$2.25 each + 15¢/jewel over 7 + 60% on the case","",""
"","3","Other:","","","","","",""
"9105.29.40.00","4","Valued not over $5 each","[""No.""]","15¢ each + 6.4%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.50 each + 65%","",""
"9105.29.50.00","4","Valued over $5 each","[""No.""]","30¢ each + 4.3%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$4.50 each + 65%","",""
"","1","Other:","","","","","",""
"9105.91","2","Electrically operated:","","","","","",""
"9105.91.40","3","With opto-electronic display only","","3.9% on the movement and case+ 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","35%","",""
"9105.91.80","3","Other","","30¢ each + 6.9% on the case + 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P, PA,PE,S,SG)","75¢ each + 45% on the case + 35% on the battery","",""
"9105.99","2","Other:","","","","","",""
"9105.99.10.00","3","Standard marine chronometers having spring-detent escapements","[""No."",""Jwls.""]","17¢ each + 2.5% + 1¢/jewel","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$4.50 each + 65% + 25¢/jewel","",""
"","3","Other, with movement measuring not over 50 mm in width or diameter:","","","","","",""
"9105.99.20","4","Not constructed or designed to operate for over 47 hours without rewinding","","Free","","75¢ each + 45% on the case","",""
"","4","Constructed or designed to operate for over 47 hours without rewinding:","","","","","",""
"9105.99.30","5","Having no jewels or only one jewel","","Free","","$1.75 each + 45% on the case","",""
"9105.99.40","5","Having over one jewel","","Free","","$2.25 each + 15¢/jewel over 7 + 60% on the case","",""
"","3","Other:","","","","","",""
