HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6911.10.37","6","Aggregate value not over $200","","8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"6911.10.37.10","7","Plates not over 27.9 cm in maximum dimension, teacups and saucers; mugs; soups, fruits and cereals, the foregoing not over 22.9 cm in maximum dimension","[""Dz Pcs""]","","","","",""
"6911.10.37.50","7","Other","[""Dz Pcs""]","","","","",""
"6911.10.38","6","Aggregate value over $200","","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"6911.10.38.10","7","Plates not over 27.9 cm in maximum dimension; teacups and saucers; mugs; soups, fruits and cereals, the foregoing not over 22.9 cm in maximum dimension","[""Dz Pcs""]","","","","",""
"6911.10.38.50","7","Other","[""Dz Pcs""]","","","","",""
"","4","Other:","","","","","",""
"6911.10.41.00","5","Steins with permanently attached pewter lids, candy boxes, decanters, punch bowls, pretzel dishes, tidbit dishes, tiered servers, bonbon dishes, egg cups, spoons and spoon rests, oil and vinegar sets, tumblers and salt and pepper shaker sets","[""Dz Pcs""]","6.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","70%","",""
"6911.10.45.00","5","Mugs and other steins","[""Dz Pcs""]","14%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","70%","",""
"6911.10.52.00","5","Cups valued over $8 but not over $29 per dozen; saucers valued over $5.25 but not over $18.75 per dozen; soups, oatmeals and cereals valued over $9.30 but not over $33 per dozen; plates not over 22.9 cm in maximum diameter and valued over $8.50 but not over $31 per dozen; plates over 22.9 but not over 27.9 cm in maximum diameter and valued over $11.50 but not over $41 per dozen; platters or chop dishes valued over $40 but not over $143 per dozen; sugars valued over $23 but not over $85 per dozen; creamers valued over $20 but not over $75 per dozen; and beverage servers valued over $50 but not over $180 per dozen","[""Dz Pcs""]","8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"6911.10.58.00","5","Cups valued over $29 per dozen; saucers valued over $18.75 per dozen; soups, oatmeals and cereals valued over $33 per dozen; plates not over 22.9 cm in maximum diameter and valued over $31 per dozen; plates over 22.9 but not over 27.9 cm in maximum diameter and valued over $41 per dozen; platters or chop dishes valued over $143 per dozen; sugars valued over $85 per dozen; creamers valued over $75 per dozen; and beverage servers valued over $180 per dozen","[""Dz Pcs""]","6%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","75%","",""
"6911.10.60.00","5","Serviette rings","[""Dz Pcs""]","20.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"6911.10.80","5","Other","","20.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"6911.10.80.10","6","Suitable for food or drink contact","[""Dz Pcs""]","","","","",""
"6911.10.80.90","6","Other","[""Dz Pcs""]","","","","",""
"6911.90.00","1","Other","","5.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","70%","",""
"6911.90.00.10","2","Toilet articles","[""No.""]","","","","",""
"6911.90.00.50","2","Other","[""No.""]","","","","",""
"6912.00","0","Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china:","","","","","",""
"","1","Tableware and kitchenware:","","","","","",""
"6912.00.10.00","2","Of coarse-grained earthenware, or of coarse- grained stoneware; of fine-grained earthenware, whether or not decorated, having a reddish-colored body and a lustrous glaze which, on teapots, may be any color, but which, on other articles, must be mottled, streaked or solidly colored brown to black with metallic oxide or salt","[""Dz Pcs""]","0.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","2","Other:","","","","","",""
"6912.00.20.00","3","Hotel or restaurant ware and other ware not household ware","[""Dz Pcs""]","28%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"","3","Other:","","","","","",""
"","4","Available in specified sets:","","","","","",""
"6912.00.35","5","In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is not over $38","","9.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6912.00.35.10","6","Plates not over 27.9 cm in maximum dimension; teacups and saucers; mugs; soups, fruits and cereals, the foregoing not over 22.9 cm in maximum dimension","[""Dz Pcs""]","","","","",""
"6912.00.35.50","6","Other","[""Dz Pcs""]","","","","",""
"6912.00.39","5","In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is over $38","","4.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6912.00.39.10","6","Plates not over <il>27.9 cm</il> in maximum dimension; teacups and saucers; mugs; soups, fruits and cereals, the foregoing not over <il>22.9 cm</il> in maximum dimension","[""Dz Pcs""]","","","","",""
"6912.00.39.50","6","Other","[""Dz Pcs""]","","","","",""
"","4","Other:","","","","","",""
"6912.00.41.00","5","Steins with permanently attached pewter lids; candy boxes, decanters, punch bowls, pretzel dishes, tidbit dishes, tiered servers, bonbon dishes, egg cups, spoons and spoon rests, oil and vinegar sets, tumblers and salt and pepper shaker sets","[""Dz Pcs""]","3.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6912.00.44.00","5","Mugs and other steins","[""Dz Pcs""]","10%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6912.00.45.00","5","Cups valued over $5.25 per dozen; saucers valued over $3 per dozen; soups, oatmeals and cereals valued over $6 per dozen; plates not over 22.9 cm in maximum diameter and valued over $6 per dozen; plates over 22.9 but not over 27.9 cm in maximum diameter and valued over $8.50 per dozen; platters or chop dishes valued over $35 per dozen; sugars valued over $21 per dozen; creamers valued over $15 per dozen; and beverage servers valued over $42 per dozen","[""Dz Pcs""]","4.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6912.00.46.00","5","Serviette rings","[""Dz Pcs""]","9.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6912.00.48","5","Other","","9.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6912.00.48.10","6","Suitable for food or drink contact","[""Dz Pcs""]","","","","",""
"6912.00.48.90","6","Other","[""Dz Pcs""]","","","","",""
"6912.00.50.00","1","Other","[""Dz Pcs""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50.5%","",""
"6913","0","Statuettes and other ornamental ceramic articles:","","","","","",""
"6913.10","1","Of porcelain or china:","","","","","",""
"6913.10.10.00","2","Statues, statuettes and handmade flowers, valued over $2.50 each and produced by professional sculptors or directly from molds made from original models produced by professional sculptors","[""Dz Pcs""]","Free","","20%","",""
"","2","Other:","","","","","",""
"6913.10.20.00","3","Of bone chinaware","[""Dz Pcs""]","3.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","70%","",""
"6913.10.50.00","3","Other","[""Dz Pcs""]","Free","","70%","",""
"6913.90","1","Other:","","","","","",""
"6913.90.10.00","2","Statues, statuettes and handmade flowers, valued over $2.50 each and produced by professional sculptors or directly from molds made from original models produced by professional sculptors","[""Dz Pcs""]","Free","","20%","",""
"","2","Other:","","","","","",""
"6913.90.20.00","3","Of ceramic tile","[""Dz Pcs""]","Free","","50%","",""
"6913.90.30.00","3","Of earthenware, whether or not decorated, having a reddish-colored body and a lustrous glaze, and mottled, streaked or solidly colored brown to black with metallic oxide or salt","[""Dz Pcs""]","Free","","25%","",""
"6913.90.50.00","3","Other","[""Dz Pcs""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","51.5%","",""
"6914","0","Other ceramic articles:","","","","","",""
"6914.10","1","Of porcelain or china:","","","","","",""
"6914.10.40.00","2","Ceramic ferrules of porcelain or china, not exceeding 3 mm in diameter or 25 mm in length, having a fiber channel opening and/or ceramic mating sleeves of alumina or zirconia","[""Dz Pcs""]","Free","","60%","",""
"6914.10.80.00","2","Other","[""Dz Pcs""]","9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6914.90","1","Other:","","","","","",""
"6914.90.41.00","2","Ceramic ferrules of alumina or zirconia, not exceeding 3 mm in diameter or 25 mm in length, having a fiber channel opening and/or ceramic mating sleeves of alumina or zirconia","[""Dz Pcs""]","Free","","45%","",""
"6914.90.80.00","2","Other","[""Dz Pcs""]","5.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
